iter	Passed	Remaining
0	139	139669
1	144	72267
2	150	49977
3	154	38564
4	158	31632
5	163	27079
6	167	23727
7	171	21262
8	175	19351
9	178	17661
10	181	16278
11	183	15070
12	185	14051
13	187	13180
14	188	12401
15	190	11707
16	191	11091
17	193	10547
18	194	10051
19	196	9604
20	197	9204
21	198	8836
22	199	8495
23	201	8177
24	202	7914
25	204	7656
26	205	7420
27	207	7190
28	208	6976
29	209	6776
30	210	6593
31	212	6417
32	213	6253
33	214	6097
34	215	5951
35	217	5816
36	218	5689
37	219	5565
38	221	5446
39	222	5333
40	223	5227
41	225	5135
42	226	5035
43	227	4940
44	228	4848
45	229	4758
46	230	4677
47	232	4608
48	233	4531
49	234	4455
50	235	4383
51	236	4313
52	237	4245
53	238	4186
54	240	4125
55	241	4067
56	242	4009
57	243	3952
58	244	3898
59	245	3845
60	246	3794
61	247	3745
62	248	3697
63	249	3651
64	250	3606
65	251	3565
66	253	3523
67	254	3482
68	255	3441
69	256	3402
70	257	3364
71	258	3327
72	259	3292
73	260	3257
74	261	3222
75	262	3189
76	263	3157
77	264	3124
78	265	3093
79	266	3063
80	267	3033
81	268	3005
82	269	2972
83	270	2944
84	271	2917
85	272	2891
86	273	2866
87	274	2841
88	275	2816
89	276	2792
90	277	2769
91	278	2746
92	279	2725
93	280	2703
94	281	2681
95	282	2660
96	283	2639
97	284	2619
98	285	2598
99	286	2579
100	287	2560
101	288	2542
102	289	2524
103	290	2506
104	291	2488
105	293	2472
106	294	2455
107	295	2438
108	296	2422
109	297	2406
110	298	2389
111	299	2373
112	300	2358
113	301	2342
114	302	2327
115	303	2312
116	304	2296
117	305	2282
118	306	2269
119	308	2261
120	310	2254
121	311	2242
122	313	2232
123	314	2222
124	315	2210
125	316	2198
126	317	2185
127	319	2173
128	320	2162
129	321	2152
130	322	2141
131	323	2130
132	325	2119
133	326	2108
134	327	2096
135	328	2085
136	329	2073
137	330	2063
138	331	2051
139	332	2041
140	333	2030
141	334	2018
142	335	2008
143	336	1998
144	337	1988
145	338	1978
146	339	1969
147	340	1959
148	341	1949
149	342	1940
150	343	1930
151	344	1921
152	345	1912
153	346	1903
154	347	1894
155	348	1887
156	349	1879
157	350	1870
158	352	1861
159	353	1853
160	353	1843
161	354	1834
162	355	1826
163	356	1818
164	357	1810
165	358	1802
166	359	1795
167	360	1787
168	361	1779
169	363	1773
170	364	1765
171	365	1758
172	366	1750
173	367	1744
174	368	1737
175	369	1729
176	370	1722
177	371	1716
178	372	1709
179	373	1702
180	374	1695
181	375	1688
182	376	1681
183	377	1675
184	378	1668
185	379	1662
186	380	1655
187	381	1649
188	382	1643
189	383	1636
190	385	1630
191	386	1624
192	387	1618
193	388	1612
194	389	1606
195	390	1601
196	391	1595
197	392	1589
198	393	1583
199	394	1577
200	395	1572
201	396	1566
202	397	1560
203	398	1555
204	399	1549
205	400	1544
206	401	1539
207	402	1534
208	403	1528
209	405	1524
210	406	1521
211	408	1516
212	409	1511
213	410	1506
214	411	1500
215	412	1495
216	413	1491
217	414	1486
218	415	1481
219	416	1476
220	417	1471
221	418	1466
222	419	1461
223	420	1457
224	421	1452
225	422	1447
226	423	1443
227	424	1438
228	425	1434
229	427	1430
230	428	1425
231	429	1421
232	431	1418
233	432	1415
234	433	1410
235	434	1406
236	435	1401
237	436	1397
238	437	1392
239	438	1388
240	439	1383
241	440	1379
242	441	1375
243	442	1371
244	443	1366
245	444	1362
246	445	1358
247	446	1354
248	447	1350
249	448	1346
250	449	1342
251	450	1337
252	451	1333
253	452	1329
254	453	1325
255	454	1321
256	455	1318
257	457	1314
258	458	1310
259	459	1306
260	460	1302
261	461	1298
262	462	1294
263	463	1291
264	464	1287
265	465	1283
266	466	1279
267	467	1276
268	468	1272
269	469	1269
270	470	1265
271	471	1261
272	472	1258
273	473	1254
274	474	1251
275	475	1247
276	476	1244
277	477	1240
278	478	1237
279	479	1233
280	480	1230
281	482	1227
282	483	1224
283	484	1220
284	485	1217
285	486	1213
286	487	1210
287	488	1207
288	489	1203
289	490	1200
290	491	1197
291	492	1193
292	493	1190
293	494	1187
294	495	1184
295	496	1181
296	497	1178
297	498	1174
298	499	1171
299	500	1168
300	501	1165
301	502	1162
302	504	1159
303	505	1156
304	506	1153
305	507	1150
306	508	1147
307	509	1144
308	510	1141
309	511	1138
310	512	1135
311	513	1132
312	514	1129
313	515	1126
314	516	1123
315	517	1120
316	518	1117
317	519	1114
318	520	1111
319	521	1108
320	522	1105
321	524	1103
322	525	1100
323	526	1097
324	527	1094
325	528	1092
326	529	1089
327	530	1086
328	531	1083
329	532	1080
330	533	1077
331	534	1075
332	535	1072
333	536	1069
334	537	1067
335	538	1064
336	539	1061
337	540	1058
338	541	1056
339	542	1053
340	543	1050
341	544	1048
342	545	1045
343	546	1042
344	547	1040
345	549	1037
346	550	1035
347	551	1032
348	552	1030
349	553	1027
350	554	1024
351	555	1022
352	556	1019
353	557	1017
354	558	1014
355	559	1011
356	560	1009
357	561	1006
358	562	1004
359	563	1001
360	564	999
361	565	997
362	566	994
363	568	992
364	569	990
365	570	987
366	571	985
367	572	982
368	573	980
369	574	977
370	575	975
371	576	973
372	577	970
373	578	968
374	579	965
375	580	963
376	581	960
377	582	958
378	583	956
379	584	953
380	585	951
381	586	949
382	587	946
383	588	944
384	589	942
385	590	939
386	591	937
387	593	935
388	594	933
389	595	930
390	596	928
391	597	926
392	598	923
393	599	921
394	600	919
395	601	916
396	602	914
397	603	912
398	604	910
