iter	Passed	Remaining
0	160	160049
1	168	84169
2	181	60209
3	191	47622
4	196	39048
5	200	33245
6	203	28839
7	205	25506
8	208	22932
9	210	20813
10	213	19154
11	214	17685
12	216	16429
13	217	15352
14	219	14414
15	221	13620
16	222	12887
17	224	12228
18	226	11674
19	227	11166
20	229	10685
21	230	10257
22	232	9858
23	233	9489
24	234	9151
25	235	8837
26	237	8548
27	238	8291
28	242	8128
29	244	7897
30	245	7677
31	247	7477
32	248	7287
33	249	7102
34	251	6926
35	252	6763
36	256	6666
37	257	6529
38	259	6394
39	260	6263
40	262	6134
41	263	6011
42	264	5894
43	266	5783
44	267	5676
45	270	5617
46	272	5519
47	273	5424
48	274	5335
49	276	5248
50	277	5162
51	278	5081
52	279	5001
53	281	4925
54	283	4867
55	286	4824
56	287	4756
57	288	4689
58	290	4626
59	291	4563
60	292	4503
61	293	4444
62	295	4389
63	296	4334
64	299	4309
65	301	4264
66	302	4213
67	303	4163
68	304	4115
69	306	4067
70	307	4022
71	308	3977
72	309	3935
73	311	3894
74	314	3879
75	316	3845
76	317	3806
77	318	3768
78	320	3731
79	321	3694
80	322	3659
81	323	3626
82	324	3586
83	325	3554
84	327	3529
85	330	3513
86	331	3483
87	333	3459
88	335	3433
89	336	3404
90	338	3376
91	339	3348
92	340	3321
93	343	3314
94	345	3294
95	347	3268
96	348	3242
97	349	3217
98	350	3192
99	352	3168
100	353	3144
101	354	3122
102	356	3101
103	359	3093
104	360	3073
105	361	3052
106	363	3031
107	364	3009
108	365	2989
109	366	2969
110	368	2949
111	369	2931
112	371	2912
113	374	2907
114	375	2889
115	376	2871
116	377	2851
117	379	2833
118	380	2816
119	381	2798
120	382	2782
121	384	2767
122	390	2782
123	391	2768
124	393	2753
125	394	2739
126	396	2722
127	397	2711
128	399	2699
129	404	2710
130	406	2696
131	407	2681
132	409	2667
133	410	2652
134	411	2638
135	413	2624
136	414	2610
137	415	2596
138	418	2592
139	420	2582
140	422	2570
141	423	2557
142	424	2544
143	425	2531
144	427	2518
145	428	2505
146	429	2493
147	430	2480
148	434	2481
149	435	2469
150	437	2458
151	438	2446
152	439	2434
153	440	2422
154	442	2410
155	443	2399
156	444	2388
157	446	2378
158	449	2377
159	450	2366
160	451	2353
161	452	2342
162	454	2331
163	455	2321
164	456	2310
165	457	2300
166	459	2290
167	460	2280
168	463	2281
169	465	2272
170	466	2262
171	467	2252
172	469	2242
173	470	2233
174	471	2223
175	473	2214
176	474	2205
177	476	2198
178	478	2194
179	479	2185
180	481	2177
181	482	2168
182	483	2159
183	484	2150
184	486	2141
185	487	2132
186	488	2124
187	490	2117
188	493	2115
189	494	2108
190	495	2099
191	497	2091
